model,tag,config_id,fold,n_train,n_test,n_estimators,max_depth,min_samples_leaf,mae,rmse,row_type,is_best,mae_mean,mae_std,rmse_mean,rmse_std
random_forest_regressor,processed_2026-03-13_cv5,rf_n200_d40_leaf1,,,,200,40,1,,,summary,False,0.465133179635718,0.0020819272186168264,0.7306096843961396,0.004609920433223471
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf5,,,,300,40,5,,,summary,False,0.4869349365186165,0.0016504780487235238,0.7367043989539852,0.002148279254407642
random_forest_regressor,processed_2026-03-13_cv5,rf_n200_d40_leaf5,,,,200,40,5,,,summary,False,0.48706284764889657,0.0016570754917936944,0.7369020211256017,0.002318332433068568
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf10,,,,300,40,10,,,summary,False,0.5071752538521366,0.0019718534041185056,0.7529022320610161,0.0020802414760051316
random_forest_regressor,processed_2026-03-13_cv5,rf_n200_d40_leaf10,,,,200,40,10,,,summary,False,0.5073022312895701,0.0019478156709363205,0.7531566178406034,0.002148864094533193
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf1,,,,300,20,1,,,summary,False,0.5358093941521922,0.0021360286796269046,0.7747977740086844,0.0022945482023115386
random_forest_regressor,processed_2026-03-13_cv5,rf_n200_d20_leaf1,,,,200,20,1,,,summary,False,0.5360718539002498,0.0021270970053515787,0.7751311687722312,0.0021888254779400215
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf5,,,,300,20,5,,,summary,False,0.5401401160412745,0.0024773754539281862,0.7770342786718011,0.0008187765477901785
random_forest_regressor,processed_2026-03-13_cv5,rf_n200_d20_leaf5,,,,200,20,5,,,summary,False,0.5403845509559048,0.0024994630447557733,0.7773018232580862,0.0007902314899566078
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d20_leaf10,,,,300,20,10,,,summary,False,0.5467540384241899,0.0023426568011202776,0.7839287095346612,0.0009826630397134334
random_forest_regressor,processed_2026-03-13_cv5,rf_n200_d20_leaf10,,,,200,20,10,,,summary,False,0.5469922601789106,0.002340661373251181,0.7842097173642115,0.0009538851375846519
